Hostname,ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed
INBANL-PC0EX5K3,1,106,C:\Program Files (x86)\Microsoft Configuration Manager\AdminConsole\bin\Microsoft.ConfigurationManagement.exe,3/22/2017 12:00,NA
INBANL-PC0EX5K3,1,107,C:\WINDOWS\system32\mstsc.exe,8/1/2017 18:24,NA
INBANL-PC0EX5K3,1,108,C:\Users\vigneshb\AppData\Local\Google\Chrome\User Data\SwReporter\21.121.1\software_reporter_tool.exe,8/30/2017 1:50,NA
INBANL-PC0EX5K3,1,109,C:\Users\vigneshb\AppData\Local\Citrix\GoToMeeting\6441\scrutil.exe,4/5/2017 12:21,NA
INBANL-PC0EX5K3,1,110,C:\WINDOWS\system32\net1.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,111,C:\WINDOWS\system32\net.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,112,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.251.771.0.exe,9/13/2017 3:01,NA
INBANL-PC0EX5K3,1,113,C:\WINDOWS\TEMP\wac8254.tmp,9/13/2017 4:18,NA
INBANL-PC0EX5K3,1,114,C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x32\vf_movie.exe,7/18/2017 12:43,NA
INBANL-PC0EX5K3,1,115,C:\WINDOWS\TEMP\wac3877.tmp,9/13/2017 4:18,NA
INBANL-PC0EX5K3,1,116,C:\Users\vigneshb\AppData\Local\Temp\C256004B-C59E-4F27-88E0-307414361C07\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,117,C:\WINDOWS\system32\fontdrvhost.exe,6/3/2017 9:40,NA
INBANL-PC0EX5K3,1,118,C:\Users\vigneshb\AppData\Local\Citrix\GoToMeeting\6441\G2MInstaller.exe,4/5/2017 12:21,NA
INBANL-PC0EX5K3,1,119,C:\Users\vigneshb\AppData\Local\GoToMeeting\7586\scrutil.exe,9/8/2017 6:55,NA
INBANL-PC0EX5K3,1,120,C:\Program Files\ConEmu\ConEmu\ConEmuC64.exe,12/7/2016 7:09,NA
INBANL-PC0EX5K3,1,121,C:\Program Files\ConEmu\ConEmu64.exe,12/7/2016 7:09,NA
INBANL-PC0EX5K3,1,122,C:\Users\vigneshb\AppData\Local\GoToMeeting\7586\g2mvideoconference.exe,9/8/2017 6:55,NA
